username,post_text,posted_date,retweets,favorites
Ariunq,"Оюун-Эрдэнэ Энхбаярын талаар сайхан хэлж🤭👏🏻👏🏻Энхбаяр ч дээ. Хоёр гуравхаан жилийн өмнө Оюун-Эрдэнийн сэлэмний үзүүр, жадны илд нь байх болно гээд ярьж явсан хүн шдээ👇🏻🤣😂 
Үнэн гэх юмгүй, аймхай хулчгар хөгийн эр... https://t.co/BBcu9tU619",2026-03-12 06:21:44+00:00,26,43
Baagij13310361,"Сэтгүүлч: Д.Амарбаясгалан нарыг МАН-аас хөөхөд та болон Ерөнхийлөгчийн тойрон хүрээлэгчид нөлөөлсөн гэж Л.Оюун-Эрдэнэ гишүүн хэлсэн?
Я.Содбаатар: Ерөнхийлөгч нам бус шүү дээ. МАН тусдаа шүү дээ‼️ https://t.co/J7GzLRXF98",2026-03-12 07:00:10+00:00,14,38
miigaasbntv,"Лувсаннамсрайн Оюун-Эрдэнэ шөнөжин ярьж Баттөмөрийн Энхбаяр шөнөжин пост хийж хоножээ‼️
МАН-2027  2028 онд дагзаараа тавиулах нь нэгэнт тодорхой болжээ‼️
Өөр ч тайван даа‼️",2026-03-12 08:53:52+00:00,16,34
iSee_MN,"Ерөнхий сайд асан Л.Оюун-Эрдэнэ ""хүүгийнхээ орлогыг нотолсон"" гэж байгаа ч ""Херо""-ийн олсон орлого нь хууль ёсны эсэхийг АТГ-аас шалгаж байна https://t.co/VMGpRnk2I8",2026-03-12 09:21:46+00:00,15,32
newspressmn,"Нийгмийн сэтгэл зүйч Г.Уянгаа: Ерөнхий сайд асан Оюун-Эрдэнэ ба түүний ах Hero бидний хүүхдүүдийн оюун санааг тасралтгүй хордуулж ирсэн...

Бүрэн эхээр: https://t.co/4KbZCWlIsn https://t.co/8bnHPdEiLM",2026-03-12 13:27:15+00:00,23,31
Baagij13310361,Д.Мөнх-Эрдэнэ: Би хэлсэн шдээ Оюун-Эрдэнэ бол хулхины хулгайч Монголын төрөөр тоглоод зайлцан бна шдээ! https://t.co/tUn1JX7W9c,2026-03-12 14:20:04+00:00,12,31
dlobnag,"Ерөнхий  сайд асан Л.Оюун-Эрдэнэ: Монгол Улс Ерөнхийлөгчийн засаглалтай болсон. Хэн худлаа гэх юм! 

Яг үнэндээ Ерөнхийлөгч нам бус гээд байгаа мөртлөө МАН-ыг бүрэн жолоодож байна. 

Эх сурвалж: NTV ЛХАГВЫН ТОЙМ https://t.co/FzDYM8nNXA",2026-03-12 08:14:40+00:00,20,30
Javkhlanbyr,"Үүнтэй 100 хувь санал нийлж байна. Ерөнхийлөгч бол нам бус байх учиртай👇🏻‼️

 Ерөнхий  сайд асан Л.Оюун-Эрдэнэ: Монгол Улс Ерөнхийлөгчийн засаглалтай болсон. Хэн худлаа гэх юм! Яг үнэндээ Ерөнхийлөгч нам бус гээд байгаа мөртлөө МАН-ыг бүрэн жолоодож байна. https://t.co/C5AV9dJWaR",2026-03-12 08:49:54+00:00,21,28
Ariunq,"Л.ОЮУН-ЭРДЭНЭ: Б.Баатарт ""Төрийн соёрхолт өгнө, гадаадын шагналд тодорхойлно"" гэж байсныг би уурлаж байж болиулсан!!! https://t.co/ax0DoZgpOP",2026-03-12 08:48:02+00:00,11,25
tegshzy,"Л.Оюун-Эрдэнэ: У.Хүрэлсүхгүйгээр амьдарч чадахгүй нь гэсэн бөөгнөрөл үүсчихэж‼️
У.Хүрэлсүх ах минь тэмцэж байсан МАНАН бүлэглэлийнхээ толгойлогч нь болох гээд байгаа юм уу⁉️
Жанжин маань дайтаж байсан дайснуудынхаа дунд очоод, хамт байсан нөхдөө төрийн эрх мэдлээр бүгдийг нь https://t.co/3fuDotIWlQ",2026-03-12 08:32:37+00:00,17,21
UBn_mn,"Л.Оюун-Эрдэнэ: Ерөнхийлөгч Үндсэн хуулиар нам бус. Гэвч ЕТГ-ынхнаар манай намын Удирдах зөвлөл дүүрчих шиг боллоо‼️

Ерөнхийлөгч нам бус юм бол ЕТГ-ын дарга эсвэл ойр тойрныхон нь намын гишүүн байна гэдэг чинь юу гэсэн үг юм бэ⁉️

@OyunerdeneMN @UKhurelsukh @Zandanshatar https://t.co/iqnf5qsNcr",2026-03-12 11:16:07+00:00,15,21
ReelNewsmn,"Ерөнхий  сайд асан Л.Оюун-Эрдэнэ: Монгол Улс Ерөнхийлөгчийн засаглалтай болсон. Хэн худлаа гэх юм! 

Яг үнэндээ Ерөнхийлөгч нам бус гээд байгаа мөртлөө МАН-ыг бүрэн жолоодож байна. 

Эх сурвалж: NTV ЛХАГВЫН ТОЙМ https://t.co/JZ4H9jAnVO",2026-03-12 06:54:42+00:00,15,19
tsagaansuvarga,"Л. Оюун-Эрдэнэ: Б.Энхбаяр бие ороогоод могой шиг ""Дарга аа"" гээд орж ирдэг. ""Буудчих уу, жанжаан"" гэдэг шиг л нөхөр шүү дээ Д.Амарбаясгалангаас намын дэмжлэг хамгийн их авсан хүн. https://t.co/6LMw8MoH1h",2026-03-12 06:59:41+00:00,16,18
Urantogtokh,"У.Хүрэлсүх: Би Л.Оюун-Эрдэнэ, Д.Амарбаясгалан хоёрт ""хулгай битгий хий"", ""худлаа битгий ярь"" гэж захиж ирсэн‼️

2025.06.02 https://t.co/FuwglAV7Ll",2026-03-12 14:17:42+00:00,8,15
erxembtr,"Л.Оюун-Эрдэнэ: Ерөнхийлөгч дахин улирах эсвэл буугаад намын дарга болохын төлөө энэ маргаан гарсан . 

Амаараа хэллээ анх удаа. Нам бус хүн штээ уг нь гэж онцлов. 

Тэд эвлэрэх зай үлдсэн гээд 9 сар хүлээжээ. Тэгээд эвлэхгүй хагарсан тул ам нээж бгаа бололтой

Лхагвын тойм https://t.co/4b0miGCTQL",2026-03-12 11:35:41+00:00,9,14
