username,post_text,posted_date,retweets,favorites
LutochirT,Монгол улс ийм ЕС-тай байсан гэхээр л гутарч байна. Үнэндээ л данх хочиндоо таарсан хоосон хонгио гэдгээ баталлаа. Бас баахан тролл хөлслөөд Лхагваа ЭмСиЭс хоёр руу дайруулж үзэж байна. Даанч магтах барьц олдохгүй эргүү юм ярьсаар л..😝 https://t.co/TlS2b6zoDa,2026-03-11 15:48:16+00:00,92,311
Shuudertsetseg4,"Зураг аваад контент хийгээд сошл стори контент хийгээд л Chanel цүнх, Miu Miu хүрэм, очир алмазан бөгж авах орлого олдог гэж авс😛
Найз охиноо жирэмсэн болгочоод аавдаа хэлэхгүй авга ахынхаа нисдэг тэргэнд дайгдаад сүй тавьсан бн цаана чинь😹
Арай ч ийм худалч гэж бодсонгүй #Данх",2026-03-11 13:01:10+00:00,83,249
bilguunin,"Данхыг унагасан үйл явдал бол ардчилсан хувьсгалтай адилтгахуйц асар том нөлөөтэй үйл явдал байсан. Учир нь Оросууд Монголд Данх-Женко бүлэглэлээр дамжуулаад Беларус маягийн тоглоомын улс, дарангуйллын дэглэмийг аль хэдийн угсарчихсан байсан юм. Данх-Женко хоёр Путин-Медведев",2026-03-11 10:37:03+00:00,81,244
Dodo_dorj,"Хэний мориор газар дөхснөө бүү март гэдэг дээ уг нь.Сайн ч муу ч, Хүкийн ачаар улстөрд орж ирж, засгийн тэргүүн хүртлээ томорч тодорч,
гахай болтлоо хагартлаа, үе удмаараа баяжиж таргалчаад
Одоо Хүкийгээ газар дор ортол муулаад наасс 🤮

Хүкийн том алдаа нь Данх шүү!!",2026-03-11 14:08:44+00:00,61,219
g_ganbat,"2021 онд бүр 5 жилийн өмнө наад маанаг гарыг чинь мангуу бас байнга шүгэлддэг худалч гэдгийг нь ""данх""-тай зүйрлэж хэлээд, торгуулж шийтгүүлчихээд байхад та нар өнөөдөр үзээд шогшорч гайхацгааж нтр. 
Үзээгүй юм шиг одоо юуг нь үздэг байнаа. 😂 https://t.co/leXomndhyb",2026-03-11 13:34:22+00:00,108,217
batdorj911,Хоосон данх https://t.co/j9KZPt9mzx,2026-03-11 13:32:30+00:00,63,208
KharKheree53503,Цалингаараа амьдардаг гэх Ерөнхий сайд асан Данх 1290€ буюу 5.343 сая төгрөгийн үнэтэй Францын Louis Vuitton брэндийн гутал өмсжээ👣 https://t.co/7gQJhTLh1H,2026-03-11 17:01:46+00:00,122,197
Dodo_dorj,"Монголын түүхэнд хамммммгийн өндөр төсөв зарцуулж 5 жил суучаад

Дэлбэрэх дөхсөн Цахилгаан станцынхаа зуухыг сольчоогүй л ЕС шүү Данх!!

Өөрөө болон гэр бүл нь л хагартлаа баяжсан!!

Өөр ярих юм ер нь байгаа юу?? 🫣😡",2026-03-11 14:20:45+00:00,85,189
Huleg21,"Цаг нь болохоор зарлана❗️
Болохгүй бол зарлана❗️
Удахгүй зарлана ❗️
Ард байгаа хүмүүсийг нь зарлана❗️
Хэвлэлийн бага хурал хийж зарлана❗️
Зарлана, зарлана, зарлана❗️❗️❗️

Данх, Хэро, Женко технелоги❗️ https://t.co/pSHgiNlHOo",2026-03-11 12:49:00+00:00,84,158
XGerlee,Данх Сайханбилэгийг оронгуут атаархаад нэвтрүүлэгт ороод улам фэйлдээ наачлөө😂🥹 https://t.co/B77tEw1vE9,2026-03-11 14:41:45+00:00,37,149
